TIME,YACC
0,-7.65176391601563
1,-0.298888538937139
2,-0.295841171088757
3,-0.091555745852644
4,0.16863275084691
5,0.0931851583413805
6,0.0260735669677126
7,-0.0208832589057259
8,0.0198698112528409
9,-0.0733256217228671
10,0.0147552704074518
11,0.0323847521259977
12,0.00230262684606508
13,-0.0783353395828144
14,-0.0375767324024511
15,-0.0548291503031629
16,0.001312255859375
17,0.0126748104156601
18,-0.00749508992508322
19,0.00537629525057631
20,-0.0238744303853237
21,-0.0309001832432426
22,-0.00251956768834743
23,0.00157171789293425
24,0.00411700515340912
25,-0.0140533565160593
26,-0.00617858018564248
27,-0.0196500639104913
28,0.0227388573798488
29,-0.0321543383278757
30,-0.00139836014738345
31,-0.0272968242245262
32,-0.013580322265625
